"","logFC","logCPM","PValue"
"miRNA_ENSG00000278791.1__632325__632355",3.00517359627172,-0.88948260474732,0.0143715390688963
"miRNA_ENSG00000207730.3__1167104__1167134",4.82149730176565,3.59461570784349,1.21733750312184e-05
"miRNA_ENSG00000207730.3__1167119__1167149",4.82149730283473,3.59461570784349,1.21800408774538e-05
"miRNA_ENSG00000207730.3__1167134__1167164",3.32967270974614,7.92406525365448,0.00127865411034047
"miRNA_ENSG00000207730.3__1167149__1167179",3.28092659449605,7.85115674841172,0.00153732315457591
"miRNA_ENSG00000207730.3__1167164__1167194",3.28088659133833,7.8511180851798,0.00153800833362681
"miRNA_ENSG00000207607.3__1167863__1167893",4.81882200561272,3.43694968662777,2.29734445998105e-05
"miRNA_ENSG00000207607.3__1167878__1167908",4.81882197367785,3.43694968662777,2.29689658836978e-05
"miRNA_ENSG00000207607.3__1167893__1167923",3.9316913890582,8.11173219156223,0.000255433679032466
"miRNA_ENSG00000207607.3__1167908__1167938",3.90471291112956,8.05488870721374,0.000288622114383868
"miRNA_ENSG00000198976.1__1169035__1169065",2.12176310130063,5.50674477643152,0.00959018658069461
"miRNA_ENSG00000198976.1__1169050__1169080",2.12176309916849,5.50674477643152,0.0095915637756405
"miRNA_ENSG00000278073.1__1296110__1296140",2.42107791759673,-0.720107145225584,0.0112784805368156
"miRNA_ENSG00000265521.1__9967426__9967456",-3.08754636951354,-3.03136145197451,0.00339750581246281
"miRNA_ENSG00000264881.1__10227763__10227793",2.31880103472157,-0.352659831363534,0.00140053639855901
"miRNA_ENSG00000264881.1__10227793__10227803",4.30475540749171,-1.49706154325496,0.000680171121781827
"miRNA_ENSG00000276869.1__12029158__12029188",2.64306471695328,-1.19163997731947,0.0018391991849349
"miRNA_ENSG00000276869.1__12029173__12029203",2.42217451695363,-1.05003144208071,0.00285350492984122
"miRNA_ENSG00000221662.1__18897071__18897101",5.59749354710282,7.00228577711054,1.43474666164633e-06
"miRNA_ENSG00000221662.1__18897086__18897116",5.59749349329372,7.00228577711054,1.43267435932701e-06
"miRNA_ENSG00000276835.2__22633258__22633288",3.29289331557786,-0.486708724999027,0.00197683694755315
"miRNA_ENSG00000276835.2__22633273__22633303",3.29289630728525,-0.486708724999027,0.00197590035127121
"miRNA_ENSG00000266802.1__23057858__23057888",2.85760537828973,3.39498220079361,4.0232858911709e-08
"miRNA_ENSG00000266802.1__23057873__23057903",2.86694598119684,3.42888294758111,1.54032190619082e-08
"miRNA_ENSG00000266802.1__23057888__23057918",2.85109491886075,3.44321751138044,6.08456330791635e-09
"miRNA_ENSG00000266802.1__23057903__23057933",2.83040486405374,3.39463528873084,3.63086766913366e-08
"miRNA_ENSG00000266802.1__23057933__23057934",3.29110346746362,-2.1185346061862,0.00698828554741819
"miRNA_ENSG00000284154.1__33332393__33332423",2.65540517305308,2.70228694111684,9.25470727663147e-07
"miRNA_ENSG00000284154.1__33332408__33332438",2.65540547136413,2.70228694111684,9.24652928317147e-07
"miRNA_ENSG00000283836.1__43364648__43364678",2.74975749175323,-1.521025395724,0.00556271090210622
"miRNA_ENSG00000264834.1__52928674__52928704",2.79194900441108,1.20138138564742,3.31079661662783e-06
"miRNA_ENSG00000264834.1__52928689__52928719",2.67857127983136,1.51054437942362,4.04776161903269e-06
"miRNA_ENSG00000264834.1__52928704__52928734",2.2862713914842,0.800397117724635,4.5667444344038e-05
"miRNA_ENSG00000264834.1__52928719__52928749",2.23970417951581,0.503165218573675,9.33612346459926e-05
"miRNA_ENSG00000264834.1__52928734__52928764",2.08636905342866,-0.807756778472071,0.00770675309501099
"miRNA_ENSG00000264834.1__52928764__52928772",2.16058447827637,-1.52984031244234,0.0248657720923023
"miRNA_ENSG00000266188.1__52934930__52934960",2.34409892859793,-1.76034978536064,0.00770388182422603
"miRNA_ENSG00000266188.1__52934945__52934975",2.34409737473893,-1.76034978536064,0.00770296404159668
"miRNA_ENSG00000266188.1__52934960__52934990",3.44291151147049,1.23897890542169,5.42493135160624e-06
"miRNA_ENSG00000266188.1__52934975__52935005",3.28572511555499,1.45657817009519,6.60671169575695e-07
"miRNA_ENSG00000266188.1__52935005__52935017",3.36389113579383,1.44151986320839,4.66762532691055e-07
"miRNA_ENSG00000265815.1__52940314__52940344",2.57405930518212,-0.822733096820596,0.00099167721990695
"miRNA_ENSG00000265815.1__52940329__52940359",2.42365327654244,-0.825712128109699,0.00187561259157239
"miRNA_ENSG00000265815.1__52940344__52940374",2.84246666561459,1.40615615628451,1.57801262135244e-05
"miRNA_ENSG00000265815.1__52940359__52940389",2.85881203105183,1.38300871481705,2.74160566985528e-05
"miRNA_ENSG00000265815.1__52940374__52940404",2.89394762129688,1.34663526435134,2.8484195214815e-05
"miRNA_ENSG00000265815.1__52940404__52940413",3.00838350789881,0.979300936690134,3.75691426117005e-05
