"","HCC21","HCC22","HCC23","HCC24","HCC25","N1","N2","N3","N4","N5"
"miRNA_ENSG00000278267.1__17369__17399",0.13941905489828,0.157465261052973,0,0.0472700069551598,0.0915312737408092,0.0417031583153734,0,0.0409471758535585,0.0354920241335389,0.078580457977232
"miRNA_ENSG00000278267.1__17384__17414",0.464730182994265,0.440902730948326,0.561045930343142,0.0945400139103195,0.183062547481618,0.166812633261494,0.173582993408771,0.409471758535585,0.390412265468928,0.39290228988616
"miRNA_ENSG00000278267.1__17399__17429",0.325311128095986,0.314930522105947,0.561045930343142,0.0472700069551598,0.137296910611214,0.12510947494612,0.173582993408771,0.368524582682027,0.354920241335389,0.314321831908928
"miRNA_ENSG00000278267.1__17429__17436",0.325311128095986,0.283437469895352,0.561045930343142,0.0472700069551598,0.0915312737408092,0.12510947494612,0.173582993408771,0.368524582682027,0.354920241335389,0.314321831908928
"miRNA_ENSG00000284332.1__30366__30396",0,0,0,0,0,0,0.0433957483521927,0,0.0354920241335389,0
"miRNA_ENSG00000284332.1__30381__30411",0,0,0,0,0,0,0.0433957483521927,0,0.0354920241335389,0
"miRNA_ENSG00000284332.1__30396__30426",0,0,0,0,0,0,0.0433957483521927,0,0.0354920241335389,0
"miRNA_ENSG00000284332.1__30411__30441",0,0,0,0,0,0,0,0,0.0354920241335389,0
"miRNA_ENSG00000284332.1__30426__30456",0,0,0,0,0,0,0,0,0.0354920241335389,0
"miRNA_ENSG00000284332.1__30441__30471",0,0,0,0,0,0,0,0,0.0354920241335389,0
"miRNA_ENSG00000273874.1__187891__187921",0.092946036598853,0.157465261052973,0.0935076550571903,0.0472700069551598,0,0.0417031583153734,0,0.0409471758535585,0.106476072400617,0
"miRNA_ENSG00000273874.1__187906__187936",0.185892073197706,0.377916626527136,0.607799757871737,0.330890048686118,0.0457656368704046,0.208515791576867,0.260374490113156,0.245683055121351,0.283936193068312,0.078580457977232
"miRNA_ENSG00000273874.1__187921__187951",0.092946036598853,0.251944417684758,0.514292102814546,0.283620041730959,0.0457656368704046,0.166812633261494,0.260374490113156,0.204735879267793,0.177460120667695,0.078580457977232
"miRNA_ENSG00000273874.1__187951__187958",0.092946036598853,0.220451365474163,0.514292102814546,0.283620041730959,0.0457656368704046,0.166812633261494,0.260374490113156,0.204735879267793,0.177460120667695,0.078580457977232
"miRNA_ENSG00000278791.1__632325__632355",0.092946036598853,0.188958313263568,0.233769137642976,0.330890048686118,0.457656368704046,0.166812633261494,0,0.0409471758535585,0,0.039290228988616
"miRNA_ENSG00000278791.1__632340__632370",0.278838109796559,0.188958313263568,0.280522965171571,0.330890048686118,0.457656368704046,0.166812633261494,0.173582993408771,0.081894351707117,0.0709840482670779,0.19645114494308
"miRNA_ENSG00000278791.1__632355__632385",0.278838109796559,0.188958313263568,0.233769137642976,0.425430062596438,0.457656368704046,0.25021894989224,0.260374490113156,0.28663023097491,0.106476072400617,0.275031602920312
"miRNA_ENSG00000278791.1__632370__632400",0.278838109796559,0.188958313263568,0.233769137642976,0.330890048686118,0.411890731833642,0.25021894989224,0.260374490113156,0.28663023097491,0.106476072400617,0.275031602920312
"miRNA_ENSG00000278791.1__632400__632413",0.278838109796559,0.0944791566317841,0.140261482585785,0.283620041730959,0.320359458092832,0.208515791576867,0.260374490113156,0.163788703414234,0.106476072400617,0.275031602920312
"miRNA_ENSG00000207730.3__1167104__1167134",1.16182545748566,3.93663152632434,4.62862892533092,1.84353027125123,1.92215674855699,0.583844216415228,0.564144728578505,0.327577406828468,0.354920241335389,0.353612060897544
"miRNA_ENSG00000207730.3__1167119__1167149",1.16182545748566,3.93663152632434,4.62862892533092,1.84353027125123,1.92215674855699,0.583844216415228,0.564144728578505,0.327577406828468,0.354920241335389,0.353612060897544
"miRNA_ENSG00000207730.3__1167134__1167164",25.0024838450915,68.6548538190964,63.3514363012464,33.4671649242531,35.742962395786,23.0618465484015,30.9845643234656,19.7774859372688,19.9820095871824,29.7427033443823
"miRNA_ENSG00000207730.3__1167149__1167179",23.8406583876058,64.7812083971933,58.7228073759155,31.6236346530019,33.820805647229,22.4780023319863,30.4204195948871,19.4499085304403,19.627089345847,29.3890912834848
"miRNA_ENSG00000207730.3__1167164__1167194",23.8406583876058,64.7182222927721,58.7228073759155,31.6236346530019,33.820805647229,22.4780023319863,30.4204195948871,19.4499085304403,19.627089345847,29.3890912834848
"miRNA_ENSG00000207730.3__1167194__1167198",0,0.0314930522105947,0,0,0,0,0.0433957483521927,0.0409471758535585,0.106476072400617,0
"miRNA_ENSG00000207607.3__1167863__1167893",0.882987347689104,1.85809008042509,1.77664544608662,1.08721015996867,1.23567219550092,0.375328424838361,0.607540476930698,0.204735879267793,0.390412265468928,0.39290228988616
"miRNA_ENSG00000207607.3__1167878__1167908",0.882987347689104,1.85809008042509,1.77664544608662,1.08721015996867,1.23567219550092,0.375328424838361,0.607540476930698,0.204735879267793,0.390412265468928,0.39290228988616
"miRNA_ENSG00000207607.3__1167893__1167923",17.7526929903809,56.3725634569645,90.9829483706461,21.1769631159116,29.2442419601886,13.6369327691271,22.0016444145617,13.635409559235,21.0112782870551,23.1419448742948
"miRNA_ENSG00000207607.3__1167908__1167938",16.8697056426918,54.5144733765394,89.2063029245595,20.0897529559429,28.0085697646876,13.2616043442887,21.394103937631,13.4306736799672,20.6208660215861,22.7490425844087
"miRNA_ENSG00000207607.3__1167938__1167952",1.67302865877935,2.14152755032044,1.77664544608662,1.46537021560995,2.0136880222978,4.37883162311421,4.81692806709339,4.13566476120941,4.15256682362406,4.95056885256561
"miRNA_ENSG00000198976.1__1169035__1169065",9.1087115866876,14.8962136956113,19.4495922518956,6.80688100154301,8.00898645232081,9.8836485207435,10.4149796045263,9.33595609461134,10.008750805658,11.0798445747897
"miRNA_ENSG00000198976.1__1169050__1169080",9.1087115866876,14.8962136956113,19.4495922518956,6.80688100154301,8.00898645232081,9.8836485207435,10.4149796045263,9.33595609461134,10.008750805658,11.0798445747897
"miRNA_ENSG00000278073.1__1296110__1296140",0.418257164694839,0.440902730948326,0.280522965171571,0.661780097372237,0.457656368704046,0.208515791576867,0.0433957483521927,0,0.0709840482670779,0.117870686965848
"miRNA_ENSG00000278073.1__1296125__1296155",0.418257164694839,0.47239578315892,0.327276792700166,0.756320111282556,0.457656368704046,0.291922108207614,0.0433957483521927,0.122841527560676,0.0709840482670779,0.157160915954464
"miRNA_ENSG00000278073.1__1296140__1296170",0,0.0314930522105947,0.0935076550571903,0.0945400139103195,0,0.0834063166307468,0.0433957483521927,0.122841527560676,0,0.039290228988616
"miRNA_ENSG00000283712.1__1312502__1312532",0,0,0.0935076550571903,0,0,0,0,0.0409471758535585,0,0
"miRNA_ENSG00000283712.1__1312517__1312547",0,0.0629861044211894,0.374030620228761,0,0.0457656368704046,0.0417031583153734,0,0.204735879267793,0.0354920241335389,0.157160915954464
"miRNA_ENSG00000283712.1__1312532__1312562",0,0.0629861044211894,0.280522965171571,0,0.0457656368704046,0.0417031583153734,0,0.163788703414234,0.0354920241335389,0.157160915954464
"miRNA_ENSG00000283712.1__1312562__1312566",0,0,0,0,0.0457656368704046,0,0,0,0,0
"miRNA_ENSG00000284372.1__1339650__1339680",0.511203201293692,0.409409678737731,0.607799757871737,0.850860125192876,0.274593821222428,0.500437899784481,0.260374490113156,0.450418934389144,0.283936193068312,0.235741373931696
"miRNA_ENSG00000284372.1__1339665__1339695",0.511203201293692,0.409409678737731,0.607799757871737,0.850860125192876,0.274593821222428,0.500437899784481,0.260374490113156,0.450418934389144,0.283936193068312,0.235741373931696
"miRNA_ENSG00000207776.1__3560695__3560725",0.975933384287957,0.409409678737731,0.280522965171571,0.0945400139103195,0.137296910611214,0.750656849676721,1.04149796045263,0.450418934389144,0.780824530937857,1.84664076246495
"miRNA_ENSG00000207776.1__3560710__3560740",0.975933384287957,0.409409678737731,0.280522965171571,0.0945400139103195,0.137296910611214,0.750656849676721,1.04149796045263,0.450418934389144,0.780824530937857,1.84664076246495
"miRNA_ENSG00000207776.1__3560725__3560755",0.975933384287957,0.409409678737731,0.280522965171571,0.0945400139103195,0.137296910611214,0.750656849676721,1.04149796045263,0.450418934389144,0.780824530937857,1.84664076246495
"miRNA_ENSG00000264101.1__5862687__5862717",0,0,0,0,0,0.0834063166307468,0.0433957483521927,0,0,0.039290228988616
"miRNA_ENSG00000264101.1__5862702__5862732",0,0,0,0,0,0.0834063166307468,0.0433957483521927,0,0,0.039290228988616
"miRNA_ENSG00000274258.1__8866502__8866532",0,0,0.0467538275285951,0,0,0.0417031583153734,0,0,0,0.039290228988616
"miRNA_ENSG00000274258.1__8866517__8866547",0,0,0.0467538275285951,0,0,0.0417031583153734,0,0,0,0.039290228988616
"miRNA_ENSG00000274258.1__8866547__8866577",0,0,0,0,0,0,0,0.163788703414234,0.0354920241335389,0
