modules,group
yellow,cor=0.3108;p-value=0.39796266
blue,cor=0.4299;p-value=0.35789357
white,cor=0.5678;p-value=0.18100473
cyan,cor=0.901;p-value=0.00376062
royalblue,cor=0.6532;p-value=0.09217675
orange,cor=0.2842;p-value=0.42611864
turquoise,cor=0.3416;p-value=0.36350314
brown,cor=0.3485;p-value=0.36350314
darkgrey,cor=0.6858;p-value=0.07145613
magenta,cor=0.8139;p-value=0.02463551
salmon,cor=0.719;p-value=0.07145613
grey60,cor=0.7111;p-value=0.07145613
red,cor=0.4194;p-value=0.35789357
lightcyan,cor=-0.3858;p-value=0.35789357
purple,cor=-0.3673;p-value=0.36350314
black,cor=-0.3413;p-value=0.36350314
darkred,cor=-0.7014;p-value=0.07145613
darkturquoise,cor=-0.3999;p-value=0.35789357
lightyellow,cor=-0.8054;p-value=0.02463551
darkorange,cor=-0.6872;p-value=0.07145613
greenyellow,cor=-0.385;p-value=0.35789357
pink,cor=-0.3983;p-value=0.35789357
green,cor=-0.3992;p-value=0.35789357
tan,cor=-0.896;p-value=0.00376062
grey,cor=-0.9676;p-value=0.00011609
