genes,yellow,blue,white,cyan,royalblue,orange,turquoise,brown,darkgrey,magenta,salmon,grey60,red,lightcyan,purple,black,darkred,darkturquoise,lightyellow,darkorange,greenyellow,pink,green,tan,grey
miRNA_ENSG00000278267.1__17369__17399,cor=0.1455;p-value=0.6884,cor=0.6574;p-value=0.0388,cor=0.3371;p-value=0.3409,cor=0.4301;p-value=0.2147,cor=0.2624;p-value=0.4638,cor=0.0374;p-value=0.9182,cor=-0.3771;p-value=0.2827,cor=-0.0722;p-value=0.843,cor=-0.1757;p-value=0.6274,cor=0.1454;p-value=0.6886,cor=0.4516;p-value=0.1901,cor=0.8064;p-value=0.0048,cor=0.5269;p-value=0.1176,cor=-0.4773;p-value=0.163,cor=-0.1667;p-value=0.6454,cor=-0.141;p-value=0.6976,cor=-0.0843;p-value=0.8169,cor=-0.1852;p-value=0.6085,cor=-0.2393;p-value=0.5055,cor=-0.1569;p-value=0.665,cor=-0.1248;p-value=0.7311,cor=0.1288;p-value=0.7229,cor=-0.374;p-value=0.287,cor=-0.4069;p-value=0.2433,cor=-0.4246;p-value=0.2213
miRNA_ENSG00000278267.1__17384__17414,cor=-0.2952;p-value=0.4077,cor=0.3003;p-value=0.3991,cor=0.5842;p-value=0.0761,cor=0.2683;p-value=0.4536,cor=0.2077;p-value=0.5647,cor=0.4748;p-value=0.1655,cor=0.5545;p-value=0.0962,cor=-0.4871;p-value=0.1534,cor=0.0503;p-value=0.8902,cor=-0.2588;p-value=0.4703,cor=-0.1321;p-value=0.716,cor=0.4142;p-value=0.234,cor=0.3703;p-value=0.2922,cor=-0.3337;p-value=0.3461,cor=0.1766;p-value=0.6256,cor=0.2248;p-value=0.5324,cor=0.331;p-value=0.3501,cor=0.2064;p-value=0.5672,cor=0.1297;p-value=0.721,cor=-0.1823;p-value=0.6143,cor=-0.2982;p-value=0.4027,cor=0.2046;p-value=0.5708,cor=-0.3348;p-value=0.3443,cor=-0.2066;p-value=0.5668,cor=-0.1619;p-value=0.655
miRNA_ENSG00000278267.1__17399__17429,cor=-0.2742;p-value=0.4432,cor=0.1438;p-value=0.6918,cor=0.5501;p-value=0.0994,cor=0.2023;p-value=0.5752,cor=0.2137;p-value=0.5534,cor=0.4912;p-value=0.1494,cor=0.7031;p-value=0.0233,cor=-0.5008;p-value=0.1404,cor=0.1161;p-value=0.7495,cor=-0.2928;p-value=0.4117,cor=-0.2885;p-value=0.4188,cor=0.1891;p-value=0.6009,cor=0.1889;p-value=0.6011,cor=-0.239;p-value=0.506,cor=0.2259;p-value=0.5303,cor=0.2683;p-value=0.4536,cor=0.3693;p-value=0.2936,cor=0.2438;p-value=0.4973,cor=0.1664;p-value=0.646,cor=-0.1719;p-value=0.6349,cor=-0.2849;p-value=0.425,cor=0.1518;p-value=0.6755,cor=-0.242;p-value=0.5006,cor=-0.1217;p-value=0.7376,cor=-0.0697;p-value=0.8484
miRNA_ENSG00000278267.1__17429__17436,cor=-0.3501;p-value=0.3213,cor=0.0799;p-value=0.8263,cor=0.4786;p-value=0.1617,cor=0.1253;p-value=0.7302,cor=0.1212;p-value=0.7387,cor=0.4701;p-value=0.1703,cor=0.6934;p-value=0.0262,cor=-0.4707;p-value=0.1698,cor=0.1115;p-value=0.7591,cor=-0.3131;p-value=0.3784,cor=-0.2893;p-value=0.4175,cor=0.1446;p-value=0.6901,cor=0.1958;p-value=0.5876,cor=-0.1756;p-value=0.6275,cor=0.2368;p-value=0.5101,cor=0.277;p-value=0.4384,cor=0.3656;p-value=0.2988,cor=0.2735;p-value=0.4445,cor=0.214;p-value=0.5527,cor=-0.1315;p-value=0.7172,cor=-0.2604;p-value=0.4674,cor=0.1639;p-value=0.651,cor=-0.2122;p-value=0.5561,cor=-0.0705;p-value=0.8464,cor=-0.019;p-value=0.9585
miRNA_ENSG00000284332.1__30366__30396,cor=-0.1302;p-value=0.7199,cor=-0.2027;p-value=0.5743,cor=-0.2513;p-value=0.4837,cor=-0.4595;p-value=0.1816,cor=-0.3451;p-value=0.3287,cor=-0.1501;p-value=0.679,cor=-0.1646;p-value=0.6495,cor=-0.171;p-value=0.6366,cor=-0.3818;p-value=0.2763,cor=-0.4247;p-value=0.2212,cor=-0.3522;p-value=0.3182,cor=-0.3492;p-value=0.3226,cor=-0.2135;p-value=0.5537,cor=0.0018;p-value=0.996,cor=-0.1117;p-value=0.7587,cor=0.5558;p-value=0.0953,cor=0.5004;p-value=0.1407,cor=-0.1272;p-value=0.7262,cor=0.1275;p-value=0.7256,cor=-0.0063;p-value=0.9862,cor=-0.158;p-value=0.6628,cor=-0.1362;p-value=0.7076,cor=0.7338;p-value=0.0157,cor=0.5201;p-value=0.1233,cor=0.5292;p-value=0.1157
miRNA_ENSG00000284332.1__30381__30411,cor=-0.1302;p-value=0.7199,cor=-0.2027;p-value=0.5743,cor=-0.2513;p-value=0.4837,cor=-0.4595;p-value=0.1816,cor=-0.3451;p-value=0.3287,cor=-0.1501;p-value=0.679,cor=-0.1646;p-value=0.6495,cor=-0.171;p-value=0.6366,cor=-0.3818;p-value=0.2763,cor=-0.4247;p-value=0.2212,cor=-0.3522;p-value=0.3182,cor=-0.3492;p-value=0.3226,cor=-0.2135;p-value=0.5537,cor=0.0018;p-value=0.996,cor=-0.1117;p-value=0.7587,cor=0.5558;p-value=0.0953,cor=0.5004;p-value=0.1407,cor=-0.1272;p-value=0.7262,cor=0.1275;p-value=0.7256,cor=-0.0063;p-value=0.9862,cor=-0.158;p-value=0.6628,cor=-0.1362;p-value=0.7076,cor=0.7338;p-value=0.0157,cor=0.5201;p-value=0.1233,cor=0.5292;p-value=0.1157
miRNA_ENSG00000284332.1__30396__30426,cor=-0.1302;p-value=0.7199,cor=-0.2027;p-value=0.5743,cor=-0.2513;p-value=0.4837,cor=-0.4595;p-value=0.1816,cor=-0.3451;p-value=0.3287,cor=-0.1501;p-value=0.679,cor=-0.1646;p-value=0.6495,cor=-0.171;p-value=0.6366,cor=-0.3818;p-value=0.2763,cor=-0.4247;p-value=0.2212,cor=-0.3522;p-value=0.3182,cor=-0.3492;p-value=0.3226,cor=-0.2135;p-value=0.5537,cor=0.0018;p-value=0.996,cor=-0.1117;p-value=0.7587,cor=0.5558;p-value=0.0953,cor=0.5004;p-value=0.1407,cor=-0.1272;p-value=0.7262,cor=0.1275;p-value=0.7256,cor=-0.0063;p-value=0.9862,cor=-0.158;p-value=0.6628,cor=-0.1362;p-value=0.7076,cor=0.7338;p-value=0.0157,cor=0.5201;p-value=0.1233,cor=0.5292;p-value=0.1157
miRNA_ENSG00000284332.1__30411__30441,cor=-0.0974;p-value=0.7889,cor=-0.1134;p-value=0.755,cor=0.2147;p-value=0.5513,cor=-0.1761;p-value=0.6266,cor=-0.1733;p-value=0.6322,cor=0.4516;p-value=0.1902,cor=-0.0437;p-value=0.9047,cor=-0.1206;p-value=0.74,cor=-0.2163;p-value=0.5484,cor=-0.2596;p-value=0.4688,cor=-0.1888;p-value=0.6015,cor=-0.2146;p-value=0.5516,cor=-0.1264;p-value=0.7279,cor=0.1123;p-value=0.7574,cor=-0.1033;p-value=0.7765,cor=0.9935;p-value=0,cor=0.5565;p-value=0.0947,cor=0.4118;p-value=0.2371,cor=0.4172;p-value=0.2304,cor=-0.0269;p-value=0.9412,cor=-0.0888;p-value=0.8073,cor=-0.0827;p-value=0.8202,cor=-0.1159;p-value=0.7499,cor=0.04;p-value=0.9127,cor=0.2084;p-value=0.5634
miRNA_ENSG00000284332.1__30426__30456,cor=-0.0974;p-value=0.7889,cor=-0.1134;p-value=0.755,cor=0.2147;p-value=0.5513,cor=-0.1761;p-value=0.6266,cor=-0.1733;p-value=0.6322,cor=0.4516;p-value=0.1902,cor=-0.0437;p-value=0.9047,cor=-0.1206;p-value=0.74,cor=-0.2163;p-value=0.5484,cor=-0.2596;p-value=0.4688,cor=-0.1888;p-value=0.6015,cor=-0.2146;p-value=0.5516,cor=-0.1264;p-value=0.7279,cor=0.1123;p-value=0.7574,cor=-0.1033;p-value=0.7765,cor=0.9935;p-value=0,cor=0.5565;p-value=0.0947,cor=0.4118;p-value=0.2371,cor=0.4172;p-value=0.2304,cor=-0.0269;p-value=0.9412,cor=-0.0888;p-value=0.8073,cor=-0.0827;p-value=0.8202,cor=-0.1159;p-value=0.7499,cor=0.04;p-value=0.9127,cor=0.2084;p-value=0.5634
miRNA_ENSG00000284332.1__30441__30471,cor=-0.0974;p-value=0.7889,cor=-0.1134;p-value=0.755,cor=0.2147;p-value=0.5513,cor=-0.1761;p-value=0.6266,cor=-0.1733;p-value=0.6322,cor=0.4516;p-value=0.1902,cor=-0.0437;p-value=0.9047,cor=-0.1206;p-value=0.74,cor=-0.2163;p-value=0.5484,cor=-0.2596;p-value=0.4688,cor=-0.1888;p-value=0.6015,cor=-0.2146;p-value=0.5516,cor=-0.1264;p-value=0.7279,cor=0.1123;p-value=0.7574,cor=-0.1033;p-value=0.7765,cor=0.9935;p-value=0,cor=0.5565;p-value=0.0947,cor=0.4118;p-value=0.2371,cor=0.4172;p-value=0.2304,cor=-0.0269;p-value=0.9412,cor=-0.0888;p-value=0.8073,cor=-0.0827;p-value=0.8202,cor=-0.1159;p-value=0.7499,cor=0.04;p-value=0.9127,cor=0.2084;p-value=0.5634
miRNA_ENSG00000273874.1__187891__187921,cor=-0.3921;p-value=0.2624,cor=0.6879;p-value=0.0279,cor=0.7159;p-value=0.0199,cor=0.5242;p-value=0.1198,cor=0.1804;p-value=0.618,cor=0.3943;p-value=0.2595,cor=0.2972;p-value=0.4043,cor=-0.0089;p-value=0.9806,cor=0.2617;p-value=0.4652,cor=0.098;p-value=0.7877,cor=0.2011;p-value=0.5774,cor=0.5728;p-value=0.0835,cor=0.2944;p-value=0.409,cor=-0.2873;p-value=0.4209,cor=-0.107;p-value=0.7687,cor=0.3814;p-value=0.2769,cor=0.0574;p-value=0.8749,cor=0.0497;p-value=0.8916,cor=-0.1966;p-value=0.5863,cor=-0.3674;p-value=0.2963,cor=-0.0552;p-value=0.8796,cor=-0.3637;p-value=0.3016,cor=-0.4236;p-value=0.2225,cor=-0.5527;p-value=0.0976,cor=-0.4348;p-value=0.2092
miRNA_ENSG00000273874.1__187906__187936,cor=-0.4615;p-value=0.1794,cor=0.2696;p-value=0.4513,cor=0.4488;p-value=0.1932,cor=0.4008;p-value=0.251,cor=0.1529;p-value=0.6732,cor=0.184;p-value=0.6109,cor=0.7698;p-value=0.0092,cor=0.1979;p-value=0.5837,cor=0.6855;p-value=0.0287,cor=0.2359;p-value=0.5117,cor=-0.0243;p-value=0.9468,cor=0.05;p-value=0.8909,cor=-0.0979;p-value=0.7879,cor=0.027;p-value=0.941,cor=-0.0266;p-value=0.9418,cor=0.076;p-value=0.8347,cor=-0.2222;p-value=0.5373,cor=-0.1162;p-value=0.7491,cor=-0.34;p-value=0.3364,cor=-0.3709;p-value=0.2913,cor=-0.0941;p-value=0.7961,cor=-0.441;p-value=0.202,cor=-0.0904;p-value=0.8038,cor=-0.3634;p-value=0.302,cor=-0.3197;p-value=0.3678
miRNA_ENSG00000273874.1__187921__187951,cor=-0.4004;p-value=0.2515,cor=0.1198;p-value=0.7416,cor=0.2833;p-value=0.4276,cor=0.3036;p-value=0.3938,cor=0.1327;p-value=0.7147,cor=0.0437;p-value=0.9046,cor=0.7883;p-value=0.0068,cor=0.2354;p-value=0.5127,cor=0.7102;p-value=0.0214,cor=0.2413;p-value=0.5018,cor=-0.1097;p-value=0.7629,cor=-0.1319;p-value=0.7164,cor=-0.2363;p-value=0.511,cor=0.1162;p-value=0.7491,cor=0.0039;p-value=0.9915,cor=-0.0641;p-value=0.8604,cor=-0.283;p-value=0.4282,cor=-0.1894;p-value=0.6001,cor=-0.3538;p-value=0.3158,cor=-0.3061;p-value=0.3897,cor=-0.0914;p-value=0.8018,cor=-0.3834;p-value=0.2741,cor=0.051;p-value=0.8888,cor=-0.2321;p-value=0.5187,cor=-0.2246;p-value=0.5328
